D1_Fraction,D2_Fraction,S1_Fraction,S2_Fraction,C1_Fraction,C2_Fraction,Temperature,Pressure,Molar_Feed_Ratio,Calc_Temperature,Phase_Gas,Phase_Liquid,Additive_None,Additive_mol_L,S_Ta2O5,S_BaLa4Ti4O15,S_SiO2,S_CeO2,S_Cu2O,S_Fe2O3,S_Zn2Ti3O8,S_ZnO,S_CaFe2O4,S_ZnGa2O4,S_ZnS,S_lnTaO4,S_Ag,S_WO3,S_ZrO2,S_BiVO4,S_TiO2,S_ZnTiO3,S_SiC,S_NiO,S_PbBiO2Br,S_TaON,S_C3N4,S_SrNb2O6,S_BP,S_ZnTe,S_SrTiO3,S_CdS,C_Pt,C_NiO,C_Cr,C_Cu,C_V,C_Fe,C_ln2O3,C_Bi2S3,C_AgBr,C_Ag,C_MgO,C_Au,C_Pd,C_Ru,C_Co,C_Eu,C_CuO,class
0.0,0.0,0.99,0.01,0.0,0.0,298,1.0,0.0,298,0,1,0,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
0.0,0.0,0.98,0.01,0.01,0.0,298,1.0,0.0,298,0,1,0,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
0.0,0.0,0.97,0.01,0.02,0.0,298,1.0,0.0,298,0,1,0,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
0.0,0.0,0.96,0.01,0.03,0.0,298,1.0,0.0,298,0,1,0,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
0.0,0.0,0.99,0.01,0.0,0.0,298,1.0,0.0,298,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,0.97,0.01,0.02,0.0,298,1.0,0.0,298,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.0,0.0,0.95,0.01,0.04,0.0,298,1.0,0.0,298,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.0,0.0,0.93,0.01,0.06,0.0,298,1.0,0.0,298,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.0,0.0,0.91,0.01,0.08,0.0,298,1.0,0.0,298,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.0,0.0,0.89,0.01,0.1,0.0,298,1.0,0.0,298,0,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0.0,0.0,0.7,0.3,0.0,0.0,298,1.0,42.0,773,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,0.99,0.01,0.0,0.0,298,1.0,42.0,773,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,0.99,0.01,0.0,0.0,298,1.0,42.0,298,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,0.0,0.99,0.01,0.0,0.0,298,1.0,42.0,298,1,0,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
